UF,MUNICIPIO,DEPENDENCIAADMINISTRATIVA,TIPO,MODALIDADEENSINO,CURSO,ANOHOMOLOGACAO,VAGASHOMOLOGADAS
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,AUXILIAR TÉCNICO EM AGROPECUÁRIA,2012,30
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Avicultor,2012,200
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Avicultor,2014,625
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Avicultor,2016,70
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Balconista de Farmácia,2012,20
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Balconista de Farmácia,2014,260
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Balconista de Farmácia,2019,20
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Bovinocultor de Corte,2014,30
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Bovinocultor de Leite,2014,150
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cabeleireiro,2012,165
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cabeleireiro,2014,64
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cadista para a Construção Civil,2012,20
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cafeicultor,2014,90
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Camareira em Meios de Hospedagem,2012,60
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Camareira em Meios de Hospedagem,2014,178
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Carpinteiro de Esquadrias,2012,60
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cobrador de Ônibus Coletivo Urbano,2014,30
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Confeccionador de Bolsas em Tecido,2012,40
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Confeccionador de Bolsas em Tecido,2014,40
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Confeccionador de Lingerie e Moda Praia,2012,20
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Confeccionador de Lingerie e Moda Praia,2014,60
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Contador de Histórias,2014,20
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Costureiro de Máquina Reta e Overloque,2012,300
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Costureiro de Máquina Reta e Overloque,2014,80
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Costureiro de Máquina Reta e Overloque,2015,60
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cozinheiro,2015,20
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Criador de Peixes em Tanque Rede,2012,120
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Criador de Peixes em Tanque Rede,2014,230
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Criador de Peixes em Viveiros Escavados,2014,480
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Criador de Peixes em Viveiros Escavados,2016,30
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cubador de Madeira,2015,20
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cuidador de Idoso,2012,20
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cuidador de Idoso,2014,60
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cuidador Infantil,2012,60
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Cuidador Infantil,2014,240
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Depilador,2012,40
AC,Cruzeiro do Sul,PÚBLICA,FIC,ENSINO PRESENCIAL,Domador de Cavalos,2012,20
